,Station Name,Province,Climate ID,StationId,Latitude (y),Longitude (x),Elevation (m),First Year,Last Year,Status,Null pourcent
16,SATURNA CAPMON CS,BRITISH COLUMBIA,1017099,6810,48.78,-123.13,178.0,1991,2023,True,5.287356321839081
17,SATURNA ISLAND CS,BRITISH COLUMBIA,1017101,96,48.78,-123.04,24.4,1980,2023,True,11.93312434691745
18,SHAWNIGAN LAKE,BRITISH COLUMBIA,1017230,97,48.65,-123.63,159.0,1911,2023,True,12.183908045977011
19,SHERINGHAM POINT,BRITISH COLUMBIA,1017254,6811,48.38,-123.92,6.9,1992,2023,True,1.5882967607105538
20,VICTORIA UNIVERSITY CS,BRITISH COLUMBIA,1018598,6812,48.46,-123.3,60.1,1992,2023,True,1.233019853709509
21,VICTORIA GONZALES CS,BRITISH COLUMBIA,1018611,114,48.41,-123.32,61.04,1972,2023,True,1.7763845350052248
22,VICTORIA INTL A,BRITISH COLUMBIA,1018621,51337,48.65,-123.43,19.5,2013,2023,True,1.797283176593521
23,BALLENAS ISLAND,BRITISH COLUMBIA,1020590,138,49.35,-124.16,14.51,1966,2023,True,14.921630094043886
24,CAMPBELL RIVER A,BRITISH COLUMBIA,1021261,145,49.95,-125.27,108.8,1965,2023,True,2.173458725182863
25,CAMPBELL RIVER A,BRITISH COLUMBIA,1021270,52979,49.95,-125.27,108.8,2014,2023,False,33.62591431556949
26,CAPE MUDGE,BRITISH COLUMBIA,1021330,152,50.0,-125.2,4.6,1978,2023,True,27.398119122257054
27,CHATHAM POINT,BRITISH COLUMBIA,1021480,153,50.33,-125.45,22.9,1958,2023,True,6.332288401253919
28,COMOX A,BRITISH COLUMBIA,1021830,155,49.72,-124.9,25.6,1944,2023,True,0.0
29,COURTENAY PUNTLEDGE,BRITISH COLUMBIA,1021989,162,49.69,-125.03,40.0,1984,2022,False,31.264367816091955
30,ENTRANCE ISLAND,BRITISH COLUMBIA,1022689,29411,49.21,-123.81,7.6,1992,2023,True,1.5464994775339602
31,FANNY ISLAND,BRITISH COLUMBIA,1022795,29733,50.45,-125.99,5.2,2000,2023,True,2.173458725182863
32,HERIOT BAY SE,BRITISH COLUMBIA,1023462,173,50.1,-125.2,17.0,1984,2022,False,33.04075235109718
33,LITTLE QUALICUM HATCHERY,BRITISH COLUMBIA,1024638,181,49.35,-124.51,30.0,1981,2023,False,39.665621734587255
34,NANAIMO A,BRITISH COLUMBIA,1025365,52941,49.05,-123.87,28.0,2014,2023,False,33.500522466039705
35,NANAIMO A,BRITISH COLUMBIA,1025369,51318,49.05,-123.87,28.0,2013,2023,False,47.14733542319749
36,NANAIMO CITY YARD,BRITISH COLUMBIA,10253G0,189,49.2,-123.99,114.0,1981,2023,False,66.70846394984325
37,PORT HARDY A,BRITISH COLUMBIA,1026271,51319,50.68,-127.37,21.6,2013,2023,True,2.737722048066876
38,QUALICUM BEACH AIRPORT,BRITISH COLUMBIA,1026562,45627,49.34,-124.39,58.2,2006,2023,True,3.364681295715778
39,QUALICUM R FISH RESEARCH,BRITISH COLUMBIA,1026565,208,49.39,-124.62,7.6,1962,2023,True,12.560083594566354
40,QUINSAM RIVER HATCHERY,BRITISH COLUMBIA,1026639,209,50.02,-125.3,45.7,1975,2023,True,19.81191222570533
41,SISTERS ISLAND,BRITISH COLUMBIA,1027403,6813,49.49,-124.43,20.0,1992,2023,False,33.584117032392896
42,ENTRANCE ISLAND,BRITISH COLUMBIA,102BFHH,132,49.21,-123.81,7.0,1987,2023,True,12.664576802507838
43,ALBERNI ROBERTSON CREEK,BRITISH COLUMBIA,1030230,225,49.34,-124.98,73.75,1961,2023,True,7.628004179728317
44,CAPE BEALE LIGHT,BRITISH COLUMBIA,1031316,235,48.79,-125.22,25.9,1984,2023,True,0.5015673981191223
45,ESTEVAN POINT,BRITISH COLUMBIA,1032730,244,49.38,-126.54,5.8,1908,2023,True,10.846394984326018
46,ESTEVAN POINT CS,BRITISH COLUMBIA,1032731,8040,49.38,-126.54,5.8,1993,2023,True,10.512016718913271
47,LENNARD ISLAND,BRITISH COLUMBIA,1034600,257,49.11,-125.92,10.6,1980,2023,True,2.319749216300941
48,NITINAT RIVER HATCHERY,BRITISH COLUMBIA,1035612,260,48.86,-124.66,14.9,1981,2023,True,1.5673981191222568
49,NOOTKA LIGHTSTATION,BRITISH COLUMBIA,1035614,261,49.6,-126.62,15.8,1978,2023,True,0.1880877742946708
50,PACHENA POINT,BRITISH COLUMBIA,1035940,262,48.72,-125.1,37.0,1924,2023,True,13.22884012539185
51,QUATSINO,BRITISH COLUMBIA,1036570,271,50.53,-127.65,3.42,1895,2023,True,7.021943573667712
52,QUATSINO LIGHTSTATION,BRITISH COLUMBIA,1036572,272,50.44,-128.03,21.0,1978,2023,True,4.57680250783699
53,PORT ALBERNI (AUT),BRITISH COLUMBIA,1036B06,8045,49.32,-124.93,76.2,1992,2023,True,1.4629049111807733
54,SARTINE ISLAND (AUT),BRITISH COLUMBIA,1037090,8261,50.82,-128.91,103.45,1994,2023,True,18.286311389759664
55,SOLANDER ISLAND (AUT),BRITISH COLUMBIA,1037553,8260,50.11,-127.94,94.2,1994,2023,True,26.290491118077323
56,TAHSIS VILLAGE NORTH,BRITISH COLUMBIA,1037899,276,49.93,-126.65,9.0,1989,2023,False,66.81295715778475
57,TOFINO A,BRITISH COLUMBIA,1038205,277,49.08,-125.77,24.45,1942,2023,True,23.970741901776385
58,TOFINO A,BRITISH COLUMBIA,1038210,52960,49.08,-125.77,24.4,2014,2023,False,35.63218390804598
59,UCLUELET KENNEDY CAMP,BRITISH COLUMBIA,1038332,283,48.95,-125.53,40.0,1964,2023,True,0.1880877742946708
60,ZEBALLOS MURAUDE CREEK,BRITISH COLUMBIA,1039035,48888,50.05,-126.78,103.0,2010,2023,True,10.721003134796238
61,BOWEN ISLAND SUNSET PARK,BRITISH COLUMBIA,104091B,6816,49.36,-123.4,185.0,1992,2023,False,79.14315569487982
62,GIBSONS GOWER POINT,BRITISH COLUMBIA,1043152,309,49.39,-123.54,34.0,1961,2023,True,1.839080459770115
63,GRIEF POINT,BRITISH COLUMBIA,1043304,27449,49.8,-124.53,10.0,1997,2023,False,100.0
64,MERRY ISLAND LIGHTSTATION,BRITISH COLUMBIA,1045100,320,49.47,-123.91,7.2,1954,2023,True,0.7523510971786834
65,HOWE SOUND - PAM ROCKS,BRITISH COLUMBIA,10459NN,6817,49.49,-123.3,7.14,1991,2023,True,9.6760710553814
66,PENDER HARBOUR,BRITISH COLUMBIA,1046115,323,49.63,-124.03,64.0,1961,2023,False,66.75026123301986
67,PORT MELLON,BRITISH COLUMBIA,1046332,45267,49.53,-123.5,125.1,2006,2023,True,4.137931034482759
68,POWELL RIVER A,BRITISH COLUMBIA,1046391,327,49.83,-124.5,129.51,1954,2023,True,1.0658307210031348
69,POWELL RIVER,BRITISH COLUMBIA,1046392,45807,49.83,-124.5,125.0,2007,2023,True,1.1076280041797284
70,POWELL RIVER A,BRITISH COLUMBIA,1046396,52018,49.83,-124.5,129.5,2013,2023,False,33.91849529780565
71,SECHELT AUT,BRITISH COLUMBIA,1047172,45788,49.46,-123.72,86.2,2007,2023,True,2.0062695924764893
72,SQUAMISH AIRPORT,BRITISH COLUMBIA,10476F0,336,49.78,-123.16,53.7,1982,2023,True,1.48380355276907
73,WHISTLER,BRITISH COLUMBIA,1048898,348,50.13,-122.95,657.8,1976,2023,True,19.54022988505747
74,CAPE ST JAMES,BRITISH COLUMBIA,1051351,10901,51.94,-131.02,87.8,1992,2023,False,56.1546499477534
75,KINDAKUN ROCKS (AUT),BRITISH COLUMBIA,1054222,8062,53.32,-132.77,14.7,1994,2023,False,43.76175548589342
76,LANGARA,BRITISH COLUMBIA,1054500,358,54.26,-133.06,42.69,1936,2023,True,0.5851619644723093
77,LANGARA ISLAND RCS,BRITISH COLUMBIA,1054503,6819,54.26,-133.06,46.9,1992,2023,True,20.83594566353187
78,MASSET A,BRITISH COLUMBIA,1054929,52940,54.03,-132.13,5.8,2014,2023,False,35.33960292580982
79,ROSE SPIT (AUT),BRITISH COLUMBIA,1056869,8064,54.16,-131.66,6.6,1994,2023,True,25.1828631138976
80,SANDSPIT AIRPORT AUTO,BRITISH COLUMBIA,1057051,50108,53.25,-131.81,6.5,2012,2023,True,15.987460815047022
81,SANDSPIT,BRITISH COLUMBIA,1057052,48648,53.25,-131.81,6.4,2010,2023,True,2.110762800417973
82,ADDENBROKE ISLAND,BRITISH COLUMBIA,1060080,374,51.6,-127.86,21.3,1978,2023,True,0.0626959247648902
83,BELLA BELLA,BRITISH COLUMBIA,1060815,49388,52.19,-128.16,43.0,2011,2023,True,3.239289446185998
84,BELLA COOLA AIRPORT,BRITISH COLUMBIA,1060844,54338,52.39,-126.59,36.89,2015,2023,True,0.8986415882967607
85,BELLA COOLA A,BRITISH COLUMBIA,1060848,52978,52.39,-126.6,35.7,2014,2023,False,37.15778474399164
86,BOAT BLUFF,BRITISH COLUMBIA,1060901,383,52.64,-128.52,10.7,1974,2023,True,1.0031347962382446
87,BONILLA ISLAND,BRITISH COLUMBIA,1060902,384,53.49,-130.64,16.2,1960,2023,True,0.5015673981191223
88,BONILLA ISLAND (AUT),BRITISH COLUMBIA,1060R0K,8265,53.49,-130.64,12.52,1994,2023,False,33.45872518286311
89,CATHEDRAL POINT (AUT),BRITISH COLUMBIA,1061458,8264,52.19,-127.47,26.4,1994,2023,True,21.128526645768027
90,CUMSHEWA ISLAND,BRITISH COLUMBIA,1062251,6822,53.03,-131.6,12.57,1992,2023,True,22.17345872518286
91,DRYAD POINT,BRITISH COLUMBIA,1062544,387,52.19,-128.11,3.5,1977,2023,True,1.316614420062696
92,EGG ISLAND,BRITISH COLUMBIA,1062646,389,51.25,-127.84,14.0,1965,2023,True,25.726227795193317
93,GREEN ISLAND,BRITISH COLUMBIA,1063298,393,54.57,-130.71,11.9,1970,2023,True,9.404388714733544
94,GREY ISLET (AUT),BRITISH COLUMBIA,1063303,8258,54.58,-130.7,9.5,1994,2023,False,34.56635318704284
95,HERBERT ISLAND (AUT),BRITISH COLUMBIA,1063461,8259,50.94,-127.63,13.5,1994,2022,True,14.106583072100312
96,HOLLAND ROCK,BRITISH COLUMBIA,1063496,6823,54.17,-130.36,5.5,1991,2023,True,21.2957157784744
97,IVORY ISLAND,BRITISH COLUMBIA,1063690,395,52.27,-128.41,9.8,1948,2023,True,5.579937304075235
98,KEMANO,BRITISH COLUMBIA,1064020,396,53.56,-127.94,66.0,1951,2023,True,2.2361546499477534
99,KITIMAT TOWNSITE,BRITISH COLUMBIA,1064320,402,54.05,-128.63,98.0,1954,2022,False,85.8307210031348
100,KITIMAT 2,BRITISH COLUMBIA,1064321,403,54.01,-128.71,16.8,1966,2022,False,59.728317659352136
101,KITIMAT FOREST AVE,BRITISH COLUMBIA,1064324,54978,54.05,-128.63,98.0,2020,2023,True,5.93521421107628
102,LUCY ISLAND LIGHTSTATION,BRITISH COLUMBIA,1064728,6824,54.3,-130.61,2.0,1991,2023,False,38.01462904911181
103,MCINNES ISLAND,BRITISH COLUMBIA,1065010,409,52.26,-128.72,25.9,1954,2023,True,2.0062695924764893
104,PRINCE RUPERT,BRITISH COLUMBIA,1066482,48693,54.29,-130.44,35.4,2010,2023,True,2.779519331243469
105,PRINCE RUPERT MONT CIRC,BRITISH COLUMBIA,1066488,424,54.32,-130.29,60.0,1959,2023,False,87.29362591431557
106,STEWART A,BRITISH COLUMBIA,1067748,53438,55.93,-129.98,7.3,2015,2023,False,36.426332288401255
107,TERRACE PCC,BRITISH COLUMBIA,1068131,442,54.5,-128.62,67.0,1968,2023,True,27.147335423197493
108,TERRACE A,BRITISH COLUMBIA,1068134,51037,54.47,-128.58,217.3,2013,2023,True,5.559038662486938
109,TRIPLE ISLAND,BRITISH COLUMBIA,1068250,446,54.29,-130.88,20.7,1953,2023,True,0.5851619644723093
110,KITIMAT HATCHERY,BRITISH COLUMBIA,106D289,27121,54.04,-128.68,11.0,1995,2023,False,63.8871473354232
111,EQUITY SILVER,BRITISH COLUMBIA,1072692,461,54.2,-126.28,1280.0,1981,2021,False,81.10762800417973
112,HOUSTON,BRITISH COLUMBIA,1073615,470,54.4,-126.67,610.0,1957,2023,True,27.983281086729363
113,SMITHERS,BRITISH COLUMBIA,1077499,48628,54.83,-127.18,523.0,2010,2023,True,1.3375130616509927
114,SMITHERS AIRPORT AUTO,BRITISH COLUMBIA,1077501,51658,54.82,-127.19,517.6,2013,2023,True,0.7523510971786834
115,SUSKWA VALLEY,BRITISH COLUMBIA,107G879,450,55.29,-127.17,534.0,1982,2023,True,3.761755485893417
116,OOTSA LAKESKINS LAKE CLIMATE,BRITISH COLUMBIA,1085836,43963,53.77,-126.0,861.0,2005,2022,True,16.760710553814
117,PEMBERTON AIRPORT (WIND),BRITISH COLUMBIA,1086081,46747,50.3,-122.74,203.0,2007,2023,False,33.62591431556949
118,PEMBERTON AIRPORT CS,BRITISH COLUMBIA,1086082,536,50.31,-122.73,204.31,1984,2023,True,4.555903866248694
119,PUNTZI MOUNTAIN (AUT),BRITISH COLUMBIA,1086558,8092,52.11,-124.14,909.8,1993,2023,True,4.158829676071055
120,TATLAYOKO LAKE RCS,BRITISH COLUMBIA,1088015,30494,51.67,-124.4,875.0,2000,2023,True,13.291536050156742
121,BARKERVILLE,BRITISH COLUMBIA,1090660,568,53.07,-121.51,1283.0,1888,2023,True,21.9435736677116
122,BURNS LAKE DECKER LAKE,BRITISH COLUMBIA,1091174,574,54.38,-125.96,713.2,1990,2023,True,4.305120167189132
123,FORT ST JAMES AUTO,BRITISH COLUMBIA,1092975,51538,54.46,-124.29,688.0,2013,2023,True,0.9404388714733544
124,FORT ST JAMES GOLF CLUB,BRITISH COLUMBIA,1092977,55363,54.46,-124.29,712.0,2022,2023,False,64.20062695924766
125,MCLEESE LAKE GRANITE MT,BRITISH COLUMBIA,1095018,617,52.53,-122.29,1133.0,1972,2023,False,38.76698014629049
126,PRINCE GEORGE,BRITISH COLUMBIA,1096439,48370,53.88,-122.68,691.0,2009,2023,True,3.949843260188088
127,PRINCE GEORGE AIRPORT AUTO,BRITISH COLUMBIA,1096453,48248,53.89,-122.67,680.0,2009,2023,True,1.839080459770115
128,PRINCE GEORGE MASSEY AUTO,BRITISH COLUMBIA,1096454,50169,53.9,-122.79,601.0,2012,2023,True,1.5882967607105538
129,PRINCE GEORGE STP,BRITISH COLUMBIA,1096468,636,53.88,-122.77,579.0,1975,2022,False,50.01044932079415
130,QUESNEL,BRITISH COLUMBIA,1096629,48688,53.03,-122.51,545.0,2010,2023,True,2.110762800417973
131,QUESNEL AIRPORT AUTO,BRITISH COLUMBIA,1096631,48108,53.03,-122.51,545.3,2009,2023,True,1.2539184952978055
132,SPOKIN LAKE 4E,BRITISH COLUMBIA,1097646,650,52.18,-121.69,1033.0,1983,2023,True,1.5256008359456636
133,WILLIAMS LAKE A,BRITISH COLUMBIA,1098941,50820,52.18,-122.05,939.7,2012,2023,True,11.703239289446186
134,VANDERHOOF,BRITISH COLUMBIA,1098D90,655,54.03,-124.02,638.0,1980,2021,False,58.55799373040752
135,ABBOTSFORD A,BRITISH COLUMBIA,1100031,50308,49.03,-122.36,59.1,2011,2023,True,1.3375130616509927
136,ABBOTSFORD A,BRITISH COLUMBIA,1100032,54238,49.03,-122.36,59.1,2016,2023,False,33.5423197492163
137,AGASSIZ RCS,BRITISH COLUMBIA,1100119,706,49.24,-121.76,19.3,1988,2023,True,1.0031347962382446
138,AGASSIZ CDA,BRITISH COLUMBIA,1100120,707,49.24,-121.76,15.0,1889,2023,False,39.268547544409614
139,WHISTLER - NESTERS,BRITISH COLUMBIA,1100875,43443,50.13,-122.95,659.0,2005,2023,True,0.7732497387669801
140,BURNABY SIMON FRASER U,BRITISH COLUMBIA,1101158,731,49.28,-122.92,365.8,1965,2022,False,82.25705329153605
141,CALLAGHAN VALLEY,BRITISH COLUMBIA,1101300,43500,50.14,-123.11,884.0,2005,2023,True,1.6091954022988506
142,CLOVERDALE EAST,BRITISH COLUMBIA,1101708,747,49.11,-122.7,50.0,1964,2023,True,21.71368861024033
143,CULTUS LAKE,BRITISH COLUMBIA,1102221,50368,49.08,-121.98,45.7,2012,2023,True,6.583072100313479
144,DELTA BURNS BOG,BRITISH COLUMBIA,1102415,49088,49.13,-123.0,3.11,2010,2023,True,3.1347962382445136
145,DELTA TSAWWASSEN BEACH,BRITISH COLUMBIA,1102425,766,49.01,-123.09,2.4,1971,2023,True,1.9226750261233017
146,FORT LANGLEY TELEGRAPH TRAIL,BRITISH COLUMBIA,1102912,43723,49.14,-122.55,76.0,2005,2023,True,3.887147335423197
147,HANEY UBC RF ADMIN,BRITISH COLUMBIA,1103332,776,49.26,-122.57,147.0,1961,2022,True,16.32183908045977
148,MISSION WEST ABBEY,BRITISH COLUMBIA,1105192,810,49.15,-122.27,197.0,1962,2023,True,0.877742946708464
149,N VANC GROUSE MTN RESORT,BRITISH COLUMBIA,1105658,823,49.38,-123.08,1103.0,1971,2023,True,29.96865203761756
150,N VANCOUVER WHARVES,BRITISH COLUMBIA,1105669,833,49.31,-123.12,7.0,1962,2023,False,72.07941483803553
151,PITT MEADOWS CS,BRITISH COLUMBIA,1106178,6830,49.21,-122.69,5.0,1993,2023,True,1.0658307210031348
152,POINT ATKINSON,BRITISH COLUMBIA,1106200,844,49.33,-123.26,14.0,1968,2023,True,17.262277951933125
153,RICHMOND DALLYN 2,BRITISH COLUMBIA,1106764,853,49.18,-123.09,1.8,1963,2023,False,67.27272727272727
154,PORT MOODY GLENAYRE,BRITISH COLUMBIA,1106CL2,834,49.28,-122.88,129.5,1970,2023,True,4.618599791013584
155,RICHMOND NATURE PARK,BRITISH COLUMBIA,1106PF7,837,49.17,-123.09,3.0,1977,2023,True,25.579937304075237
156,SANDHEADS CS,BRITISH COLUMBIA,1107010,6831,49.11,-123.3,11.0,1991,2023,False,33.5423197492163
157,SUMAS CANAL,BRITISH COLUMBIA,1107785,870,49.11,-122.11,9.0,1957,2023,False,52.66457680250783
158,TSAWWASSEN FERRY AUTO,BRITISH COLUMBIA,1108291,50228,49.0,-123.13,7.3,2012,2023,False,100.0
159,VANCOUVER SEA ISLAND CCG,BRITISH COLUMBIA,1108380,51357,49.18,-123.19,2.11,2013,2023,True,2.4033437826541277
160,VANCOUVER INTL A,BRITISH COLUMBIA,1108395,51442,49.19,-123.18,4.3,2013,2023,True,1.316614420062696
161,VANCOUVER HARBOUR CS,BRITISH COLUMBIA,1108446,888,49.3,-123.12,2.5,1925,2023,True,4.096133751306165
162,WEST VANCOUVER AUT,BRITISH COLUMBIA,1108824,6833,49.35,-123.19,170.21,1992,2023,True,4.660397074190178
163,WHISTLER ROUNDHOUSE,BRITISH COLUMBIA,1108906,924,50.07,-122.95,1835.0,1972,2023,True,20.689655172413797
164,WHITE ROCK CAMPBELL SCIENTIFIC,BRITISH COLUMBIA,1108910,925,49.02,-122.78,13.0,1929,2023,True,9.341692789968652
165,HOPE A,BRITISH COLUMBIA,1113542,49588,49.37,-121.5,39.0,2011,2023,True,5.099268547544409
166,HOPE AIRPORT,BRITISH COLUMBIA,1113543,50517,49.37,-121.49,39.0,2012,2023,True,2.90491118077325
167,HOPE SLIDE,BRITISH COLUMBIA,1113581,951,49.27,-121.23,685.0,1969,2023,True,0.0417972831765935
168,LILLOOET,BRITISH COLUMBIA,1114619,27388,50.68,-121.93,239.5,1997,2023,True,15.02612330198537
169,LYTTON A,BRITISH COLUMBIA,1114738,51598,50.22,-121.58,224.9,2013,2023,True,9.864158829676072
170,LYTTON RCS,BRITISH COLUMBIA,1114746,44927,50.22,-121.58,225.0,2006,2023,True,2.19435736677116
171,JELLICOE,BRITISH COLUMBIA,1123721,27122,49.67,-120.33,929.0,1995,2023,True,4.5141065830721
172,KELOWNA,BRITISH COLUMBIA,1123939,48369,49.96,-119.38,433.1,2009,2023,True,1.0031347962382446
173,KELOWNA UBCO,BRITISH COLUMBIA,1123996,51117,49.94,-119.4,456.0,2012,2023,True,4.221525600835946
174,MERRITT,BRITISH COLUMBIA,1125073,49408,50.11,-120.78,591.0,2011,2023,True,16.718913270637408
175,MERRITT STP,BRITISH COLUMBIA,1125079,1022,50.11,-120.8,609.0,1968,2023,False,79.3103448275862
176,OKANAGAN CENTRE,BRITISH COLUMBIA,1125700,1032,50.06,-119.45,370.0,1925,2022,False,54.42006269592476
177,OLIVER STP,BRITISH COLUMBIA,1125766,1039,49.18,-119.54,297.2,1924,2022,False,65.99791013584118
178,OSOYOOS CS,BRITISH COLUMBIA,1125852,1041,49.03,-119.44,282.9,1990,2023,True,4.472309299895507
179,PEACHLAND,BRITISH COLUMBIA,1126070,1046,49.78,-119.72,345.0,1971,2023,True,1.6300940438871474
180,PENTICTON A,BRITISH COLUMBIA,1126146,50269,49.46,-119.6,344.4,2012,2023,True,4.200626959247649
181,PRINCETON A,BRITISH COLUMBIA,1126510,1056,49.47,-120.51,701.65,1936,2023,True,4.472309299895507
182,PRINCETON A,BRITISH COLUMBIA,1126518,52958,49.47,-120.51,701.6,2014,2023,False,34.1692789968652
183,VERNON AUTO,BRITISH COLUMBIA,1128582,46987,50.22,-119.19,482.0,2005,2023,True,2.84221525600836
184,VERNON SILVER STAR LODGE,BRITISH COLUMBIA,1128584,1070,50.36,-119.06,1585.6,1970,2023,True,22.90491118077325
185,PRINCETON CS,BRITISH COLUMBIA,112FN0M,6834,49.47,-120.51,696.5,1992,2023,True,1.0658307210031348
186,SUMMERLAND CS,BRITISH COLUMBIA,112G8L1,979,49.56,-119.65,454.2,1990,2023,True,0.7105538140020898
187,MIDWAY,BRITISH COLUMBIA,1135126,1091,49.0,-118.77,571.0,1987,2023,True,24.57680250783699
188,BILLINGS,BRITISH COLUMBIA,1140876,1100,49.02,-118.23,519.0,1984,2023,True,4.409613375130617
189,CASTLEGAR A,BRITISH COLUMBIA,1141455,1105,49.3,-117.63,495.6,1954,2023,True,2.4242424242424243
190,CASTLEGAR BCHPA DAM,BRITISH COLUMBIA,1141457,1106,49.34,-117.77,435.0,1969,2023,True,5.747126436781609
191,CASTLEGAR A,BRITISH COLUMBIA,1141460,52938,49.3,-117.63,495.6,2014,2023,False,33.70950888192267
192,DUNCAN LAKE DAM,BRITISH COLUMBIA,1142574,1115,50.24,-116.97,548.6,1963,2023,True,4.263322884012539
193,NAKUSP CS,BRITISH COLUMBIA,1145297,6840,50.27,-117.82,512.1,1991,2023,True,1.128526645768025
194,NELSON NE,BRITISH COLUMBIA,1145442,1137,49.59,-117.21,570.0,1983,2023,True,19.310344827586206
195,NEW DENVER,BRITISH COLUMBIA,1145460,1142,50.0,-117.37,568.0,1924,2023,True,0.1253918495297805
196,NELSON CS,BRITISH COLUMBIA,1145M29,6839,49.49,-117.31,534.9,1992,2023,True,7.251828631138976
197,WARFIELD RCS,BRITISH COLUMBIA,1148705,31067,49.11,-117.74,566.9,2001,2023,True,2.19435736677116
198,CRESTON CAMPBELL SCIENTIFIC,BRITISH COLUMBIA,114B1F0,6838,49.08,-116.5,640.7,1993,2023,True,0.7314524555903866
199,NELSON RIXEN CREEK,BRITISH COLUMBIA,114EMDM,1095,49.51,-117.4,760.0,1990,2023,True,1.6300940438871474
200,CRANBROOK A,BRITISH COLUMBIA,1152105,50818,49.61,-115.78,940.0,2012,2023,True,6.332288401253919
201,CRANBROOK AIRPORT AUTO,BRITISH COLUMBIA,1152106,51818,49.62,-115.79,926.69,2013,2023,True,0.5642633228840125
202,FERNIE,BRITISH COLUMBIA,1152850,1180,49.49,-115.07,1001.0,1913,2023,True,22.654127481713687
203,FT STEELE DANDY CRK,BRITISH COLUMBIA,1153034,1186,49.52,-115.46,856.0,1968,2023,False,33.521421107628
204,KIMBERLEY PCC,BRITISH COLUMBIA,1154203,1194,49.63,-115.96,889.0,1975,2023,False,41.71368861024033
205,KOOTENAY NP WEST GATE,BRITISH COLUMBIA,1154410,1199,50.63,-116.06,935.0,1968,2022,False,58.53709508881922
206,SPARWOOD CS,BRITISH COLUMBIA,1157631,6842,49.75,-114.88,1136.7,1992,2023,True,9.0282131661442
207,SPARWOOD A,BRITISH COLUMBIA,1157635,52959,49.83,-114.88,1158.2,2014,2023,False,33.96029258098224
208,WARDNER KTNY HATCHERY,BRITISH COLUMBIA,1158692,1209,49.47,-115.46,760.0,1971,2021,False,78.43260188087774
209,ASHCROFT,BRITISH COLUMBIA,1160515,48708,50.71,-121.28,327.0,2010,2023,True,12.518286311389758
210,BLUE RIVER A,BRITISH COLUMBIA,1160899,1237,52.13,-119.29,690.4,1969,2023,True,5.057471264367816
211,BLUE RIVER A,BRITISH COLUMBIA,1160902,53424,52.12,-119.29,690.4,2015,2023,False,35.04702194357367
212,BLUE RIVER CS,BRITISH COLUMBIA,1160H99,8214,52.13,-119.29,682.8,1992,2023,True,2.152560083594566
213,CLEARWATER AUTO,BRITISH COLUMBIA,1161650,52398,51.65,-120.08,438.0,2014,2023,True,22.02716823406479
214,CLINTON A,BRITISH COLUMBIA,1161662,51558,51.27,-121.68,1126.2,2013,2023,True,1.48380355276907
215,CLINTON RCS,BRITISH COLUMBIA,1161663,53638,51.14,-121.5,1059.0,2015,2023,True,0.9404388714733544
216,KAMLOOPS A,BRITISH COLUMBIA,1163781,51423,50.7,-120.45,345.3,2013,2023,True,3.0512016718913277
217,KAMLOOPS AUT,BRITISH COLUMBIA,1163842,42203,50.7,-120.44,345.0,2006,2023,True,3.343782654127482
218,100 MILE HOUSE 6NE,BRITISH COLUMBIA,1165793,1309,51.68,-121.22,928.0,1987,2023,True,13.5423197492163
